May 2019 (US),Jun 2018,March 2021 (Intl),Aug 2019,Aug 2018,Oct 2019,Oct 2020,May 2019 (Int)
800,800,800,800,800,800,800,800
790,800,790,770,800,790,780,770
770,790,780,750,790,780,760,750
760,780,770,730,780,760,740,730
740,760,750,710,760,740,730,710
,740,740,700,750,730,710,700
700,730,730,680,740,710,700,680
700,710,720,670,730,700,690,670
690,700,,660,710,690,,670
680,,690,650,700,680,670,670
,,690,640,690,670,660,660
,,,,,660,650,650
660,,,,,650,640,640
650,,,,,640,,630
,,,,,620,,
,,,,,610,,
,,,,,590,,
,,,,,,,
,,,,,590,,
,,,,,,,
,,,,,580,,
,,,,,570,,
,,,,,560,,
,,,,,,,
,,,,,,,
,,,,,540,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,510,,
,,,,,510,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0,0,0,0,1,0,0,0