Raw Score,Oct 2018,Mar 2019,Apr 2019,May 2018,Mar 2018,Apr 2018,March 2020 (US),Jan 2017,Oct 2016,May 2016,May 2017,Apr 2016,Apr 2017,Oct 2017,PT1,PT3,PT2,PT4
58,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
57,790,790,790,800,800,800,780,800,790,790,790,790,800,800,790,790,790,800
56,770,770,780,790,790,790,770,800,770,770,780,780,790,790,780,780,780,790
55,750,760,770,770,790,790,750,790,760,760,770,770,780,790,760,770,770,790
54,730,740,750,760,780,780,740,790,740,750,750,760,770,780,750,750,760,780
53,710,730,740,740,770,770,720,780,730,730,740,740,750,760,740,740,750,770
52,700,720,720,730,750,750,710,770,720,720,730,730,740,750,730,730,750,760
51,690,700,710,710,740,740,700,750,700,710,720,720,730,740,710,720,730,750
50,680,690,700,700,720,730,690,740,690,710,710,710,720,720,700,710,720,750
49,670,680,690,690,710,710,680,730,680,700,700,700,710,710,690,710,710,740
48,660,670,680,680,700,700,670,710,680,690,690,690,700,700,680,700,700,730
47,650,670,670,680,690,690,660,700,670,680,680,680,690,690,670,690,690,730
46,640,660,660,670,680,680,650,690,660,670,670,670,680,680,680,690,690,720
45,630,650,650,660,670,670,640,680,650,660,660,670,670,670,660,680,680,710
44,620,640,640,650,660,660,630,680,640,660,650,660,660,660,650,680,670,710
43,610,630,630,640,650,650,620,670,630,650,640,650,650,650,640,670,660,700
42,610,620,620,630,640,640,610,660,620,640,640,640,650,640,630,660,650,690
41,600,610,610,620,630,630,600,650,610,630,630,630,640,630,620,660,650,680
40,590,600,600,610,620,620,600,640,600,620,620,620,630,620,610,650,640,670
39,580,600,590,600,610,610,590,630,590,610,610,610,620,610,600,640,630,660
38,580,590,590,590,600,600,580,620,590,600,600,600,610,600,600,630,620,650
37,570,580,580,590,590,590,580,610,580,600,590,590,600,590,590,630,610,640
36,560,570,570,580,580,590,570,600,570,590,590,590,590,590,580,620,600,630
35,550,570,560,570,570,580,560,590,560,580,580,580,590,580,570,610,590,620
34,540,560,550,560,560,570,550,580,550,570,570,570,580,570,560,600,580,610
33,540,550,550,550,560,560,550,580,550,560,560,560,570,560,560,590,570,600
32,530,540,540,540,550,550,540,570,540,550,550,550,560,550,550,580,570,600
31,520,540,530,530,540,540,530,560,530,540,550,540,550,550,540,580,560,590
30,520,530,530,520,530,530,530,550,530,540,540,530,540,540,530,570,550,580
29,510,520,520,520,530,530,520,540,520,530,530,530,540,530,520,560,540,570
28,500,520,510,510,520,520,510,540,510,520,530,520,530,520,520,550,530,560
27,500,510,510,500,510,510,510,530,510,510,520,510,520,520,510,540,520,550
26,490,500,500,490,510,510,500,520,500,510,510,510,520,510,500,530,510,540
25,480,490,490,480,500,500,490,520,490,500,510,500,510,500,490,510,510,530
24,470,480,480,470,490,490,480,510,480,490,500,490,500,490,480,500,500,520
23,460,470,470,460,480,480,470,500,470,480,490,470,490,480,480,490,490,510
22,450,460,460,450,470,470,460,490,460,470,480,460,480,470,570,480,480,500
21,440,450,450,440,460,460,450,480,450,460,470,450,470,460,460,470,470,490
20,430,440,430,440,450,450,440,470,440,450,450,440,460,450,450,460,460,480
19,420,430,420,430,440,440,420,460,430,440,440,430,450,440,440,450,450,470
18,410,420,410,420,430,430,410,450,430,430,430,420,440,420,430,440,440,460
17,400,410,400,400,420,410,400,440,420,420,420,410,430,410,420,430,430,450
16,390,400,390,390,410,400,390,430,400,410,410,400,420,400,410,420,420,430
15,380,380,370,380,400,390,380,420,390,400,390,390,400,390,390,410,400,420
14,370,370,360,370,380,380,360,400,380,390,380,380,390,380,380,390,390,410
13,360,360,350,360,370,360,350,390,370,370,370,360,380,370,370,480,380,390
12,350,350,340,350,360,350,340,380,360,360,350,350,360,360,360,370,370,370
11,340,340,330,340,350,340,330,360,350,340,340,340,350,340,340,360,360,360
10,320,320,310,330,340,330,320,350,330,330,330,330,340,330,330,340,340,350
9,310,310,300,320,330,320,310,340,320,320,310,320,320,320,320,330,330,340
8,300,300,290,310,310,300,290,320,310,300,300,310,310,310,310,320,320,320
7,280,290,280,290,300,290,280,300,290,290,290,290,290,290,290,300,300,300
6,270,270,260,280,280,270,270,290,280,270,270,280,280,280,280,290,290,280
5,250,260,250,260,270,260,250,270,260,260,260,260,260,260,260,270,270,270
4,230,240,240,250,250,240,240,250,250,250,240,250,250,250,240,250,250,250
3,220,230,220,230,230,230,230,240,230,230,230,230,230,230,230,230,230,230
2,210,220,210,220,220,220,210,220,210,210,210,210,220,220,210,210,210,210
1,200,200,200,210,210,210,200,210,200,200,200,200,210,210,200,200,200,200
0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
100,0,0.5,0.5,0.5,1,1,0,1,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,1