Raw Score,Oct 2018,Mar 2019,Apr 2019,May 2018,Mar 2018,Apr 2018,March 2020 (US),Jan 2017,Oct 2016,May 2016,May 2017,Apr 2016,Apr 2017,Oct 2017
58,800,800,800,800,800,800,800,800,800,800,800,800,800,800
57,790,790,790,800,800,800,780,800,790,790,790,790,800,800
56,770,770,780,790,790,790,770,800,770,770,780,780,790,790
55,750,760,770,770,790,790,750,790,760,760,770,770,780,790
54,730,740,750,760,780,780,740,790,740,750,750,760,770,780
53,710,730,740,740,770,770,720,780,730,730,740,740,750,760
52,700,720,720,730,750,750,710,770,720,720,730,730,740,750
51,690,700,710,710,740,740,700,750,700,710,720,720,730,740
50,680,690,700,700,720,730,690,740,690,710,710,710,720,720
49,670,680,690,690,710,710,680,730,680,700,700,700,710,710
48,660,670,680,680,700,700,670,710,680,690,690,690,700,700
47,650,670,670,680,690,690,660,700,670,680,680,680,690,690
46,640,660,660,670,680,680,650,690,660,670,670,670,680,680
45,630,650,650,660,670,670,640,680,650,660,660,670,670,670
44,620,640,640,650,660,660,630,680,640,660,650,660,660,660
43,610,630,630,640,650,650,620,670,630,650,640,650,650,650
42,610,620,620,630,640,640,610,660,620,640,640,640,650,640
41,600,610,610,620,630,630,600,650,610,630,630,630,640,630
40,590,600,600,610,620,620,600,640,600,620,620,620,630,620
39,580,600,590,600,610,610,590,630,590,610,610,610,620,610
38,580,590,590,590,600,600,580,620,590,600,600,600,610,600
37,570,580,580,590,590,590,580,610,580,600,590,590,600,590
36,560,570,570,580,580,590,570,600,570,590,590,590,590,590
35,550,570,560,570,570,580,560,590,560,580,580,580,590,580
34,540,560,550,560,560,570,550,580,550,570,570,570,580,570
33,540,550,550,550,560,560,550,580,550,560,560,560,570,560
32,530,540,540,540,550,550,540,570,540,550,550,550,560,550
31,520,540,530,530,540,540,530,560,530,540,550,540,550,550
30,520,530,530,520,530,530,530,550,530,540,540,530,540,540
29,510,520,520,520,530,530,520,540,520,530,530,530,540,530
28,500,520,510,510,520,520,510,540,510,520,530,520,530,520
27,500,510,510,500,510,510,510,530,510,510,520,510,520,520
26,490,500,500,490,510,510,500,520,500,510,510,510,520,510
25,480,490,490,480,500,500,490,520,490,500,510,500,510,500
24,470,480,480,470,490,490,480,510,480,490,500,490,500,490
23,460,470,470,460,480,480,470,500,470,480,490,470,490,480
22,450,460,460,450,470,470,460,490,460,470,480,460,480,470
21,440,450,450,440,460,460,450,480,450,460,470,450,470,460
20,430,440,430,440,450,450,440,470,440,450,450,440,460,450
19,420,430,420,430,440,440,420,460,430,440,440,430,450,440
18,410,420,410,420,430,430,410,450,430,430,430,420,440,420
17,400,410,400,400,420,410,400,440,420,420,420,410,430,410
16,390,400,390,390,410,400,390,430,400,410,410,400,420,400
15,380,380,370,380,400,390,380,420,390,400,390,390,400,390
14,370,370,360,370,380,380,360,400,380,390,380,380,390,380
13,360,360,350,360,370,360,350,390,370,370,370,360,380,370
12,350,350,340,350,360,350,340,380,360,360,350,350,360,360
11,340,340,330,340,350,340,330,360,350,340,340,340,350,340
10,320,320,310,330,340,330,320,350,330,330,330,330,340,330
9,310,310,300,320,330,320,310,340,320,320,310,320,320,320
8,300,300,290,310,310,300,290,320,310,300,300,310,310,310
7,280,290,280,290,300,290,280,300,290,290,290,290,290,290
6,270,270,260,280,280,270,270,290,280,270,270,280,280,280
5,250,260,250,260,270,260,250,270,260,260,260,260,260,260
4,230,240,240,250,250,240,240,250,250,250,240,250,250,250
3,220,230,220,230,230,230,230,240,230,230,230,230,230,230
2,210,220,210,220,220,220,210,220,210,210,210,210,220,220
1,200,200,200,210,210,210,200,210,200,200,200,200,210,210
0,200,200,200,200,200,200,200,200,200,200,200,200,200,200
100,0,0,0,0,1,1,0,1,0,0,0,0,1,1