March 2021 (Int),Oct 2019,June 2018,Aug 2018,Aug 2019,May 2019 (US),May 2019 (Int)
40,40,40,40,40,40,40
40,39,39,40,39,39,38
39,38,39,39,38,39,37
38,37,38,38,37,38,36
37,36,37,38,37,37,35
36,35,37,37,36,,34
36,34,36,36,35,,33
35,33,35,35,34,,33
34,33,34,35,33,,32
34,32,34,34,33,,32
33,32,33,,,,32
33,31,33,,,,31
32,31,,,,,30
,30,32,,,,
,30,,,,,
30,29,,,,,
30,,31,,,,
,28,,,,,
,,,,,,
,,,,,,
,26,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,0,1,1,0,1,0